Designator,Mid X,Mid Y,Rotation,Layer
BT1,119.200000,-85.750000,0.000000,top
C1,133.770000,-102.020000,180.000000,top
C2,133.810000,-105.490000,180.000000,top
C3,143.700000,-99.720000,90.000000,top
C4,139.920000,-98.410000,90.000000,top
C5,140.000000,-109.800000,-90.000000,top
C6,142.700000,-99.420000,90.000000,top
C7,144.710000,-105.400000,0.000000,top
C8,144.860000,-102.150000,0.000000,top
C9,145.190000,-100.720000,0.000000,top
C10,141.130000,-109.740000,-90.000000,top
C11,141.700000,-99.420000,90.000000,top
C12,138.900000,-98.400000,90.000000,top
C13,137.580000,-109.640000,180.000000,top
C14,137.110000,-114.380000,180.000000,top
C15,125.017500,-83.675000,90.000000,top
C16,127.617500,-82.575000,90.000000,top
D1,124.000000,-88.700000,0.000000,top
J1,134.390000,-83.400000,180.000000,top
R1,132.960000,-90.479999,-90.000000,top
R2,137.340000,-89.580000,0.000000,top
R3,132.560000,-95.360000,0.000000,top
R4,132.550000,-97.250000,0.000000,top
R5,140.260000,-111.700000,-135.000000,top
R6,141.390000,-96.190000,-90.000000,top
R7,140.300000,-96.190000,-90.000000,top
SW1,128.510000,-130.420000,0.000000,top
SW2,147.040000,-112.000000,0.000000,top
SW3,114.010000,-130.420000,0.000000,top
SW4,128.510000,-118.670000,0.000000,top
SW5,139.300000,-123.800000,0.000000,top
SW6,114.010000,-118.670000,0.000000,top
U1,139.562500,-104.600000,0.000000,top
U2,135.600000,-98.200000,45.000000,top
U4,121.000000,-102.910000,90.000000,top
U5,126.762500,-85.850000,180.000000,top
Y1,137.100000,-111.980000,0.000000,top
